"","state_abbr","county_name","votes_dem_2016","votes_gop_2016","votes_dem_2012","votes_gop_2012"
"1126","LA","Sabine Parish",1703,7877,2194,7735
"1127","LA","St. Bernard Parish",4957,10232,5052,8497
"1128","LA","St. Charles Parish",8558,16620,8894,15936
"1129","LA","St. Helena Parish",3353,2497,4233,2756
"1130","LA","St. James Parish",6418,5456,7055,5209
"1131","LA","St. John the Baptist Parish",12658,7569,13178,7620
"1132","LA","St. Landry Parish",17208,21966,19668,21475
"1133","LA","St. Martin Parish",8266,16872,9419,15653
"1134","LA","St. Mary Parish",8050,14353,9448,13883
"1135","LA","St. Tammany Parish",27716,90914,25723,84710
"1136","LA","Tangipahoa Parish",16869,33933,17720,31583
"1137","LA","Tensas Parish",1329,1180,1564,1230
"1138","LA","Terrebonne Parish",10664,31900,12071,29500
"1139","LA","Union Parish",2691,7972,3075,7561
"1140","LA","Vermilion Parish",4745,19807,5718,18909
"1141","LA","Vernon Parish",2665,13471,3173,12146
"1142","LA","Washington Parish",5690,12552,6351,11470
"1143","LA","Webster Parish",6259,11538,6802,11397
"1144","LA","West Baton Rouge Parish",5382,6926,5692,6920
"1145","LA","West Carroll Parish",715,3970,853,3628
"1146","LA","West Feliciana Parish",2247,3390,2441,3257
"1147","LA","Winn Parish",1643,4605,1919,4539
"1148","MA","Barnstable County",71632,53842,70329,60221
"1149","MA","Berkshire County",43540,16799,48596,14209
"1150","MA","Bristol County",127619,104775,142481,93448
"1151","MA","Dukes County",8338,2474,7955,2789
"1152","MA","Essex County",220027,135405,208723,149808
"1153","MA","Franklin County",24369,10327,27024,9338
"1154","MA","Hampden County",110313,78230,122571,72318
"1155","MA","Hampshire County",54572,22089,56552,21366
"1156","MA","Middlesex County",508919,216163,467173,266307
"1157","MA","Nantucket County",4144,1892,3828,2185
"1158","MA","Norfolk County",219129,119171,200891,144654
"1159","MA","Plymouth County",133828,114722,130278,120708
"1160","MA","Suffolk County",241212,50042,219208,58872
"1161","MA","Worcester County",197126,157138,195667,162022
"1162","MD","Allegany County",6665,20025,9001,18158
"1163","MD","Anne Arundel County",116074,114509,115960,118165
"1164","MD","Baltimore County",189437,131009,202733,144686
"1165","MD","Baltimore city",178562,22726,201042,25501
"1166","MD","Calvert County",16669,24680,18963,22413
"1167","MD","Caroline County",3747,8999,4621,7674
"1168","MD","Carroll County",24314,55593,26067,53960
"1169","MD","Cecil County",12651,27579,15489,23660
"1170","MD","Charles County",46063,24163,45621,23637
"1171","MD","Dorchester County",5695,7938,6570,7514
"1172","MD","Frederick County",51891,56472,51187,55495
"1173","MD","Garrett County",2252,10189,2792,9102
"1174","MD","Harford County",43803,74261,46390,69496
"1175","MD","Howard County",93808,44792,84017,54094
"1176","MD","Kent County",4178,4598,4453,4533
"1177","MD","Montgomery County",309761,82985,286493,110940
"1178","MD","Prince George's County",313627,29290,317342,32236
"1179","MD","Queen Anne's County",7316,16211,7898,14879
"1180","MD","Somerset County",3484,5056,4478,4706
"1181","MD","St. Mary's County",15786,26889,17982,25096
"1182","MD","Talbot County",7865,10098,7983,10442
"1183","MD","Washington County",19193,38842,23282,34113
"1184","MD","Wicomico County",16327,20832,17481,20136
"1185","MD","Worcester County",8783,15910,9841,14334
"1186","ME","Androscoggin County",22975,28189,28912,22210
"1187","ME","Aroostook County",13377,19419,17844,15229
"1188","ME","Cumberland County",102935,57697,100977,57008
"1189","ME","Franklin County",7001,7900,9292,6305
"1190","ME","Hancock County",16107,13682,17533,12398
"1191","ME","Kennebec County",29296,31753,35022,26506
"1192","ME","Knox County",12440,9148,13227,8262
"1193","ME","Lincoln County",10241,9727,11298,8884
"1194","ME","Oxford County",12172,16214,16052,11766
"1195","ME","Penobscot County",32832,41601,38816,36592
"1196","ME","Piscataquis County",3098,5403,4168,4577
"1197","ME","Sagadahoc County",10679,9304,11821,8429
"1198","ME","Somerset County",9092,14998,12211,11798
"1199","ME","Waldo County",10442,10378,11292,9055
"1200","ME","Washington County",6358,9037,7797,7539
"1201","ME","York County",55828,50388,61492,43879
"1202","MI","Alcona County",1732,4201,2462,3571
"1203","MI","Alger County",1663,2585,2212,2329
"1204","MI","Allegan County",17932,33812,19594,29023
"1205","MI","Alpena County",4877,9090,6549,7298
"1206","MI","Antrim County",4448,8469,5107,7917
"1207","MI","Arenac County",2238,4704,3669,4054
"1208","MI","Baraga County",1156,2158,1574,1866
"1209","MI","Barry County",9109,19197,11496,16651
"1210","MI","Bay County",21641,28327,26797,23735
"1211","MI","Benzie County",4108,5539,4683,5071
"1212","MI","Berrien County",29496,38646,33465,38209
"1213","MI","Branch County",4740,11025,6526,9575
"1214","MI","Calhoun County",24154,31489,29270,28338
"1215","MI","Cass County",7270,14241,9587,12660
"1216","MI","Charlevoix County",5137,8674,5936,7997
"1217","MI","Cheboygan County",4302,8680,5829,7284
"1218","MI","Chippewa County",5378,9120,7100,8278
"1219","MI","Clare County",4250,8507,6337,6988
"1220","MI","Clinton County",16490,21635,18187,20630
"1221","MI","Crawford County",2110,4354,2994,3744
"1222","MI","Delta County",6431,11112,8330,9533
"1223","MI","Dickinson County",3923,8580,4952,7688
"1224","MI","Eaton County",24534,27608,27912,26193
"1225","MI","Emmet County",6972,10616,7225,10253
"1226","MI","Genesee County",102744,84174,128972,71807
"1227","MI","Gladwin County",3794,8124,5760,6661
"1228","MI","Gogebic County",2925,4019,4058,3444
"1229","MI","Grand Traverse County",20964,27412,20875,26532
"1230","MI","Gratiot County",5665,9878,7606,8236
"1231","MI","Hillsdale County",4799,14094,7106,11727
"1232","MI","Houghton County",6018,8475,6530,8040
"1233","MI","Huron County",4579,10629,6432,8686
"1234","MI","Ingham County",81266,44354,80903,45365
"1235","MI","Ionia County",8206,16374,11016,14319
"1236","MI","Iosco County",4344,8344,6242,6906
"1237","MI","Iron County",2004,3675,2687,3224
"1238","MI","Isabella County",11404,12338,13038,10800
"1239","MI","Jackson County",25795,39793,32301,36298
"1240","MI","Kalamazoo County",67142,51031,69045,52660
"1241","MI","Kalkaska County",2279,6213,3268,4897
"1242","MI","Kent County",138567,147959,134560,157801
"1243","MI","Keweenaw County",527,814,582,774
"1244","MI","Lake County",1939,3159,2752,2487
"1245","MI","Lapeer County",12734,30037,18786,23725
"1246","MI","Leelanau County",6774,7239,6576,7483
"1247","MI","Lenawee County",16750,26428,21774,22351
"1248","MI","Livingston County",34378,65665,37186,60000
"1249","MI","Luce County",681,1756,951,1501
"1250","MI","Mackinac County",2085,3740,2652,3396
"1251","MI","Macomb County",176238,224589,207992,191896
"1252","MI","Manistee County",4979,6915,6467,5736
"1253","MI","Marquette County",16042,14646,18126,13609
"1254","MI","Mason County",5281,8505,6856,7580
